layer,site_code,category,n,description
AS18_72,CH_015_VS,57,282,Forêt buissonnante
AS18_72,CH_015_VS,58,132,"Bosquets, haies"
AS18_72,CH_015_VS,59,302,Groupes d'arbres (sur surfaces agricoles)
AS18_72,CH_015_VS,60,324,Groupes d’arbres (sur surfaces improductives)
AS18_72,CH_015_VS,61,31,Lacs
AS18_72,CH_015_VS,62,164,Cours d’eau
AS18_72,CH_015_VS,63,3,Ouvrages de protection contre les crues
AS18_72,CH_015_VS,64,450,"Arbustes, broussailles"
AS18_72,CH_015_VS,65,894,Végétation herbacée improductive
AS18_72,CH_015_VS,66,23,Ouvrages de protection contre les chutes de pierres et paravalanches
AS18_72,CH_015_VS,67,9,Zones humides
AS18_72,CH_015_VS,68,17,Infrastructure de sports alpins
AS18_72,CH_015_VS,69,638,Rochers
AS18_72,CH_015_VS,70,460,"Eboulis, sable"
AS18_72,CH_015_VS,71,3,Interventions dans le paysage
AS18_72,CH_015_VS,72,9,"Glaciers, névés"
AS18_72,CH_016_VS,1,4,Bâtiments industriels et artisanaux
AS18_72,CH_016_VS,2,12,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,CH_016_VS,3,29,Maisons individuelles et maisons de deux logements
AS18_72,CH_016_VS,4,52,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_016_VS,6,2,Terrains attenants aux maisons alignées et en terrasses
AS18_72,CH_016_VS,7,8,Immeubles résidentiels
AS18_72,CH_016_VS,8,27,Terrains attenants aux immeubles résidentiels
AS18_72,CH_016_VS,9,3,Bâtiments publics
AS18_72,CH_016_VS,10,3,Terrains attenants aux bâtiments publics
AS18_72,CH_016_VS,11,16,Bâtiments agricoles
AS18_72,CH_016_VS,12,20,Terrains attenants aux bâtiments agricoles
AS18_72,CH_016_VS,13,5,Bâtiments non déterminés
AS18_72,CH_016_VS,14,6,Terrains attenants aux bâtiments non déterminés
AS18_72,CH_016_VS,17,127,"Routes, chemins"
AS18_72,CH_016_VS,18,15,Bordures de routes
AS18_72,CH_016_VS,19,8,Aires de parc de stationnement
AS18_72,CH_016_VS,20,12,Aires ferroviaires stabilisées
AS18_72,CH_016_VS,21,3,Bordures de voies ferrées
AS18_72,CH_016_VS,24,7,Installations d'approvisionnement en énergie
AS18_72,CH_016_VS,25,1,Stations d'épuration des eaux usées
AS18_72,CH_016_VS,27,5,Décharges
AS18_72,CH_016_VS,28,7,Extraction de matériaux
AS18_72,CH_016_VS,29,3,Chantiers
AS18_72,CH_016_VS,30,5,Friches et bâtiments désaffectés
AS18_72,CH_016_VS,31,3,Parcs publics
AS18_72,CH_016_VS,32,6,Installations de sport
AS18_72,CH_016_VS,36,2,Cimetières
AS18_72,CH_016_VS,37,1,Plantations fruitières
AS18_72,CH_016_VS,38,16,Arbres fruitiers de plein champ
AS18_72,CH_016_VS,39,88,Vignobles
AS18_72,CH_016_VS,40,2,Horticulture
AS18_72,CH_016_VS,41,4,Terres arables
AS18_72,CH_016_VS,42,728,Prairies naturelles
AS18_72,CH_016_VS,43,227,Pâturages locaux
AS18_72,CH_016_VS,44,20,Prés et pâturages locaux embroussaillés
AS18_72,CH_016_VS,45,107,Alpages fauchés
AS18_72,CH_016_VS,46,522,Alpages favorables
AS18_72,CH_016_VS,47,150,Alpages embroussaillés
AS18_72,CH_016_VS,48,80,Alpages rocailleux
AS18_72,CH_016_VS,49,118,"Alpes à moutons, foins de rocher"
AS18_72,CH_016_VS,50,3274,Forêt normale
AS18_72,CH_016_VS,51,158,Bande de forêt
AS18_72,CH_016_VS,53,36,Coupes de bois
AS18_72,CH_016_VS,54,8,Surfaces forestières dévastées
AS18_72,CH_016_VS,55,166,Forêt clairsemée (sur surfaces agricoles)
AS18_72,CH_016_VS,56,607,Forêt clairsemée (sur surfaces improductives)
AS18_72,CH_016_VS,57,32,Forêt buissonnante
AS18_72,CH_016_VS,58,111,"Bosquets, haies"
AS18_72,CH_016_VS,59,280,Groupes d'arbres (sur surfaces agricoles)
AS18_72,CH_016_VS,60,228,Groupes d’arbres (sur surfaces improductives)
AS18_72,CH_016_VS,61,5,Lacs
AS18_72,CH_016_VS,62,56,Cours d’eau
AS18_72,CH_016_VS,63,1,Ouvrages de protection contre les crues
AS18_72,CH_016_VS,64,300,"Arbustes, broussailles"
AS18_72,CH_016_VS,65,619,Végétation herbacée improductive
AS18_72,CH_016_VS,66,21,Ouvrages de protection contre les chutes de pierres et paravalanches
AS18_72,CH_016_VS,67,4,Zones humides
AS18_72,CH_016_VS,68,32,Infrastructure de sports alpins
AS18_72,CH_016_VS,69,220,Rochers
AS18_72,CH_016_VS,70,554,"Eboulis, sable"
AS18_72,CH_016_VS,71,1,Interventions dans le paysage
AS18_72,CH_017_VS,1,28,Bâtiments industriels et artisanaux
AS18_72,CH_017_VS,2,86,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,CH_017_VS,3,144,Maisons individuelles et maisons de deux logements
AS18_72,CH_017_VS,4,710,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_017_VS,6,12,Terrains attenants aux maisons alignées et en terrasses
AS18_72,CH_017_VS,7,28,Immeubles résidentiels
AS18_72,CH_017_VS,8,117,Terrains attenants aux immeubles résidentiels
AS18_72,CH_017_VS,9,17,Bâtiments publics
